Timestamp,Post Text,Like Text
28 November 2024 at 15:56,New Zealand Covid-19 inquiry finds vaccine mandates were ‘reasonable’,71
27 November 2024 at 21:35,"The fascism virus is about to attack the American bloodstream.  The only vaccine is education, peaceful resistance and unyielding humanity.",1100
28 November 2024 at 03:54,RFK Jr can prick himself for heroin but not a vaccine?,606
29 November 2024 at 16:43,"5) There are more subtle things that RFK Jr could do. 

For instance, vaccine manufacturing plants need to undergo federal inspections. RFK Jr could just delay those inspections, perhaps indefinitely.

Or he could raise awareness of vaccine side effects, perhaps highlighting them for patients.",27
28 November 2024 at 12:37,HPV vaccine prevents cervical cancer.,22
28 November 2024 at 00:37,"New Zealand Covid inquiry finds vaccine mandates were ‘reasonable’ 

www.theguardian.com/world/2024/n...",41
29 November 2024 at 03:39,So RFK Jr. refuses to get jabbed for a vaccine — but he’ll jab himself to shoot up heroin?,547
26 November 2024 at 15:24,All these people are antivax until they need a shingles vaccine.,0
26 November 2024 at 15:24,"We don’t have enough bird flu vaccines, and the most anti-vaccine administration in American history is about to take power",47
30 November 2024 at 13:47,"Along with the HPV vaccine, early detection is crucial. Patients have a higher survival rate when issues are caught and treated early.",82
30 November 2024 at 00:01,There’s been a remarkable 65% decline in cervical cancer deaths in young US women as a result of the HPV vaccine. Vaccines work. jamanetwork.com/journals/jam...,140
29 November 2024 at 23:25,"The HPV vaccine has been recommended in the US since 2006. New study out today shows that cervical cancer deaths in young women in the years that followed have plummeted, decreasing 15% per year from 2013-2015.
jamanetwork.com/journals/jam...",1400
27 November 2024 at 22:46,"Even in blue Colorado, vaccine advocates worry about RFK Jr’s appeal and ‘medical freedom’ movement",15
28 November 2024 at 15:48,"Has RFK Jr Ever Seen This?
===================
Two boys in 1901. The one on the left has smallpox. The one on the right was given the smallpox vaccine.
----------------------------",110
28 November 2024 at 02:43,"as a side note I firmly believe that, had John Lennon lived to today, he would have done a really awful anti-vaccine song during the pandemic",39
29 November 2024 at 12:11,our incoming secretary of health and human services opposes this vaccine because he wants to make Americans get preventable cancer again,60
29 November 2024 at 04:38,"Researchers have found a steep drop in deaths from cervical cancer, all thanks to the HPV (human papillomavirus) vaccine.",87
28 November 2024 at 20:37,"Anti-vaccine, pro-heroin.",73
28 November 2024 at 15:51,"HPV vaccine stops 90% of cervical cancer cases in England 🏴󠁧󠁢󠁥󠁮󠁧󠁿 

www.bbc.com/news/article...",61
28 November 2024 at 02:43,"Yeah, got banned from there for saying that the polio vaccine is better than Tesla.",0
